id,name,profile_path,known_for_department,popularity
1,조지 루카스,/mDLDvsx8PaZoEThkBdyaG1JxPdf.jpg,Directing,3.8053
2,마크 해밀,/zMQ93JTLW8KxusKhOlHFZhih3YQ.jpg,Acting,4.8264
3,해리슨 포드,/pjBMJVPpcZK23Vt1nzr1zEBTWrP.jpg,Acting,6.5238
4,캐리 피셔,/of4yHmryKPy92eeskUQ7MRmjC3l.jpg,Acting,2.0182
5,피터 커싱,/if5g03wn6uvHx7F6FxXHLebKc0q.jpg,Acting,2.0785
6,안소니 다니엘스,/7kR4kwXtvXtvrsxWeX3QLX5NS5V.jpg,Acting,2.0004
7,앤드류 스탠튼,/fo6ePCWEVB0L1sccrvB99Iaoqcg.jpg,Writing,1.9952
8,리 언크리치,/crb297utC6W4HSstOe5djDPTwEN.jpg,Directing,0.7655
10,밥 피터슨,/dJe3nTCIToebjj1WHFHP7LmZKyk.jpg,Acting,1.4072
12,Alexander Gould,/zzfj8LHhSiRntnyThvOBirEEmII.jpg,Acting,0.9851
13,앨버트 브룩스,/8iDSGu5l93N7benjf6b3AysBore.jpg,Directing,2.3072
14,엘런 디제너러스,/z8IEEid4z63CBlJtxrTKEfsW7NA.jpg,Acting,1.8583
18,브래드 개릿,/813ffbpoaoaJRdoe1yrbivboWKp.jpg,Acting,2.5142
19,앨리슨 제니,/hpBKWV1jjoXQbr1s0iUZTSvw582.jpg,Acting,4.1084
20,Elizabeth Perkins,/vTWYllD9V76rgv9XAbtkkjjeunG.jpg,Acting,3.4343
22,Barry Humphries,/gtOAbs8ZFJiDDRPPock1qmP4V18.jpg,Acting,1.3305
23,Bill Hunter,/gvrRsTfx47KupgRwTKp0gqryHPe.jpg,Acting,0.5221
24,로버트 저메키스,/lPYDQ5LYNJ12rJZENtyASmVZ1Ql.jpg,Directing,3.5699
31,톰 행크스,/oFvZoKI6lvU03n4YoNGAll9rkas.jpg,Acting,20.4819
32,로빈 라이트,/d3rIv0y2p0jMsQ7ViR7O1606NZa.jpg,Acting,3.3159
33,게리 시나이즈,/olRjiV8ZhBixQiTvrGwXhpVXxsV.jpg,Acting,3.508
34,미켈티 윌리엄슨,/dR16zD9AjnHWbeN5OVmJWE0vSax.jpg,Acting,3.4009
35,샐리 필드,/iMeq1j9Xwvaf6PbTJ0FQz69fpuA.jpg,Acting,13.6135
39,샘 멘데스,/5z89X9rB76JDblqMQ52fviwXxAN.jpg,Directing,1.6783
40,오슨 웰스,/e9lGmqQq3EsHeUQgQLByo275hcc.jpg,Directing,1.8936
42,라스 폰 트리에,/a1zVySI0Yqqf3ORegQ1icMfvhAa.jpg,Directing,1.8525
